Abilities,Pokemon,Usage,RowCount,Happiness,Viability Ceiling 0,Viability Ceiling 1,Viability Ceiling 2,Viability Ceiling 3,Teammates,Types,hp,atk,def,spa,spd,spe,bst,weight,height,color,Gender
"[{'healer': 53.0}, {'magicbounce': 2276.0}]",Hattrem,0.0007563,2329,[{'255': 2329.0}],59,74,74,58,"[{'Fletchinder': 6.0}, {'Iron Valiant': 115.0}, {'Spiritomb': 3.0}, {'Growlithe': 1.0}, {'Eevee': 1.0}, {'Naclstack': 12.0}, {'Mimikyu': 323.0}, {'Gholdengo': 30.0}, {'Cacturne': 435.0}, {'Raichu': 37.0}, {'Bronzong': 23.0}, {'Dragonair': 1.0}, {'Frogadier': 10.0}, {'Garchomp': 2.0}, {'Komala': 3.0}, {'Scream Tail': 25.0}, {'Gardevoir': 392.0}, {'Appletun': 1.0}, {'Dondozo': 57.0}, {'Toedscruel': 192.0}, {'Grafaiai': 9.0}, {'Eelektross': 31.0}, {'Lilligant': 7.0}, {'Toxapex': 13.0}, {'Slowking': 59.0}, {'Bisharp': 12.0}, {'Toxtricity': 18.0}, {'Indeedee': 27.0}, {'Lucario': 9.0}, {'Bellibolt': 2.0}, {'Altaria': 1.0}, {'Charmeleon': 6.0}, {'Glimmora': 21.0}, {'Ampharos': 2.0}, {'Oranguru': 42.0}, {'Kingambit': 341.0}, {'Carkol': 1.0}, {'Eelektrik': 4.0}, {'Morgrem': 3.0}, {'Staraptor': 24.0}, {'Meowscarada': 44.0}, {'Mudsdale': 1.0}, {'Espathra': 6.0}, {'Floragato': 10.0}, {'Klefki': 78.0}, {'Ting-Lu': 32.0}, {'Oinkologne': 4.0}, {'Scovillain': 22.0}, {'Farigiraf': 25.0}, {'Salamence': 6.0}, {'Wo-Chien': 3.0}, {'Haxorus': 2.0}, {'Dachsbun': 1.0}, {'Sandy Shocks': 372.0}, {'Glaceon': 17.0}, {'Wigglytuff': 1.0}, {'Clodsire': 26.0}, {'Cinderace': 16.0}, {'Magikarp': 1.0}, {'Scizor': 18.0}, {'Chansey': 2.0}, {'Hippowdon': 3.0}, {'Skuntank': 37.0}, {'Lurantis': 1.0}, {'Primeape': 25.0}, {'Sylveon': 32.0}, {'Hariyama': 5.0}, {'Raboot': 2.0}, {'Kilowattrel': 1.0}, {'Amoonguss': 137.0}, {'Jolteon': 1.0}, {'Squawkabilly': 3.0}, {'Armarouge': 29.0}, {'Iron Treads': 32.0}, {'Rotom-Wash': 16.0}, {'Pelipper': 45.0}, {'Avalugg': 13.0}, {'Talonflame': 17.0}, {'Dudunsparce': 4.0}, {'Honchkrow': 46.0}, {'Stonjourner': 2.0}, {'Magnezone': 48.0}, {'Rabsca': 1112.0}, {'Dragalge': 27.0}, {'Espeon': 1.0}, {'Ceruledge': 44.0}, {'Vigoroth': 3.0}, {'Greedent': 1.0}, {'Quagsire': 10.0}, {'Masquerain': 9.0}, {'Chien-Pao': 9.0}, {'Dragonite': 10.0}, {'Gyarados': 12.0}, {'Vaporeon': 13.0}, {'Lokix': 12.0}, {'Orthworm': 74.0}, {'Froslass': 4.0}, {""Oricorio-Pa'u"": 3.0}, {'Ursaring': 3.0}, {'Dragapult': 9.0}, {'Haunter': 39.0}, {'Zweilous': 7.0}, {'Breloom': 45.0}, {'Gastly': 1.0}, {'Drifblim': 6.0}, {'Weavile': 4.0}, {'Braviary': 1.0}, {'Torkoal': 1829.0}, {'empty': 0.0}, {'Polteageist': 4.0}, {'Grimmsnarl': 54.0}, {'Lechonk': 2.0}, {'Medicham': 7.0}, {'Brute Bonnet': 22.0}, {'Wugtrio': 37.0}, {'Corviknight': 38.0}, {'Wooper-Paldea': 3.0}, {'Sableye': 1.0}, {'Bronzor': 63.0}, {'Iron Hands': 561.0}, {'Goodra': 4.0}, {'Jigglypuff': 1.0}, {'Gengar': 2.0}, {'Donphan': 12.0}, {'Scyther': 15.0}, {'Impidimp': 2.0}, {'Floatzel': 1.0}, {'Swalot': 3.0}, {'Gastrodon': 2.0}, {'Flareon': 4.0}, {'Baxcalibur': 11.0}, {'Copperajah': 72.0}, {'Quaquaval': 8.0}, {'Garganacl': 27.0}, {'Hatenna': 362.0}, {'Tyranitar': 35.0}, {'Varoom': 3.0}, {'Fraxure': 37.0}, {'Umbreon': 13.0}, {'Tinkaton': 2.0}, {'Indeedee-F': 55.0}, {'Meditite': 1.0}, {'Camerupt': 387.0}, {'Skeledirge': 29.0}, {'Pikachu': 3.0}, {'Zoroark': 38.0}, {'Salazzle': 3.0}, {'Charcadet': 3.0}, {'Abomasnow': 6.0}, {'Gallade': 8.0}, {'Muk': 8.0}, {'Crabominable': 109.0}, {'Clawitzer': 169.0}, {'Sudowoodo': 5.0}, {'Hatterene': 1635.0}, {'Coalossal': 2.0}, {'Great Tusk': 67.0}, {'Sliggoo': 3.0}, {'Lycanroc-Dusk': 3.0}, {'Slither Wing': 83.0}, {'Crocalor': 16.0}, {'Arboliva': 14.0}, {'Pawmot': 43.0}, {'Dunsparce': 11.0}, {'Azumarill': 155.0}, {'Murkrow': 11.0}, {'Spidops': 3.0}, {'Magneton': 5.0}, {'Walking Wake': 12.0}, {'Hydreigon': 1.0}, {'Forretress': 7.0}, {'Roaring Moon': 7.0}, {'Sunflora': 1.0}, {'Chewtle': 1.0}]",['Psychic'],57,40,65,86,73,49,370,4.8,0.6,Pink,F
[{'quarkdrive': 34661.0}],Iron Leaves,0.0110333,34661,[{'255': 34661.0}],1178,86,76,60,"[{'Wugtrio': 6.0}, {'Iron Valiant': 5985.0}, {'Volcarona': 2146.0}, {'Spiritomb': 8.0}, {'Gallade': 161.0}, {'Barraskewda': 151.0}, {'Mimikyu': 147.0}, {'Gholdengo': 5161.0}, {'Cacturne': 24.0}, {'Raichu': 28.0}, {'Kricketot': 2.0}, {'Bronzong': 35.0}, {'Chansey': 39.0}, {'Oricorio': 10.0}, {'Garchomp': 1724.0}, {'Bronzor': 1.0}, {'Pincurchin': 5723.0}, {'Scream Tail': 613.0}, {'Spidops': 163.0}, {'Gardevoir': 63.0}, {'Appletun': 4.0}, {'Tyranitar': 348.0}, {'Vivillon': 2.0}, {'Dondozo': 990.0}, {'Toedscruel': 230.0}, {'Ditto': 58.0}, {'Grafaiai': 195.0}, {'Eelektross': 29.0}, {'Lilligant': 39.0}, {'Toxapex': 1339.0}, {'Fuecoco': 9.0}, {'Tauros-Paldea-Aqua': 34.0}, {'Bisharp': 118.0}, {'Toxtricity': 120.0}, {'Zangoose': 12.0}, {'Krookodile': 48.0}, {'Lucario': 88.0}, {'Bellibolt': 141.0}, {'Flamigo': 62.0}, {'Florges': 104.0}, {'Eiscue': 16.0}, {'Flittle': 5.0}, {'Altaria': 39.0}, {'Bonsly': 2.0}, {'Lurantis': 11.0}, {'Slowbro': 49.0}, {'Oricorio-Sensu': 2.0}, {'Surskit': 3.0}, {'Ampharos': 8.0}, {'Oranguru': 1.0}, {'Revavroom': 26.0}, {'Leafeon': 22.0}, {'Kingambit': 3933.0}, {'Magnezone': 263.0}, {'Staraptor': 118.0}, {'Meowscarada': 1516.0}, {'Cloyster': 59.0}, {'Pachirisu': 3.0}, {'Klefki': 67.0}, {'Ting-Lu': 1529.0}, {'Shelgon': 2.0}, {'Oinkologne': 1.0}, {'Scovillain': 356.0}, {'Iron Hands': 1550.0}, {'Salamence': 117.0}, {'Falinks': 10.0}, {'Wo-Chien': 123.0}, {'Haxorus': 106.0}, {'Muk': 1.0}, {'Glimmora': 3086.0}, {'Glaceon': 47.0}, {'Ursaring': 3.0}, {'Wigglytuff': 4.0}, {'Clodsire': 3921.0}, {'Cinderace': 2634.0}, {'Goodra': 77.0}, {'Rotom-Heat': 186.0}, {'Noivern': 56.0}, {'Hippowdon': 32.0}, {'Dragapult': 3080.0}, {'Blissey': 223.0}, {'Mismagius': 15.0}, {'Donphan': 90.0}, {'Brambleghast': 63.0}, {'Primeape': 5.0}, {'Greninja': 1687.0}, {'Zorua': 5.0}, {'Sylveon': 110.0}, {'Klawf': 7.0}, {'Deino': 2.0}, {'Iron Jugulis': 1412.0}, {'Kilowattrel': 414.0}, {'Amoonguss': 991.0}, {'Jolteon': 61.0}, {'Tandemaus': 2.0}, {'Armarouge': 325.0}, {'Sawsbuck': 23.0}, {'Flapple': 10.0}, {'Slaking': 24.0}, {'Iron Treads': 4117.0}, {'Rotom-Wash': 3282.0}, {'Pelipper': 1166.0}, {'Avalugg': 41.0}, {'Talonflame': 199.0}, {'Dudunsparce': 54.0}, {'Honchkrow': 9.0}, {'Lycanroc': 9.0}, {'Stonjourner': 1.0}, {'Umbreon': 92.0}, {'Zoroark-Hisui': 12256.0}, {'Rabsca': 52.0}, {'Heracross': 34.0}, {'Espeon': 83.0}, {'Ceruledge': 1988.0}, {'Palossand': 1.0}, {'Iron Thorns': 398.0}, {'Toxicroak': 20.0}, {'Masquerain': 276.0}, {'Dragonite': 2841.0}, {'Gyarados': 66.0}, {'Gastrodon': 216.0}, {'Vaporeon': 119.0}, {'Lokix': 440.0}, {'Orthworm': 2820.0}, {'Froslass': 38.0}, {'Hariyama': 10.0}, {'Perrserker': 2.0}, {'Haunter': 1.0}, {'Arcanine': 62.0}, {'Breloom': 664.0}, {'Slowking': 583.0}, {'Drifblim': 55.0}, {'Alomomola': 32.0}, {'Hypno': 1.0}, {'Weavile': 25.0}, {'Rotom-Mow': 30.0}, {'Hawlucha': 432.0}, {'Mudsdale': 9.0}, {'Braviary': 20.0}, {'Torkoal': 7206.0}, {'empty': 0.0}, {'Jumpluff': 46.0}, {'Polteageist': 238.0}, {'Rotom': 2.0}, {'Grimmsnarl': 1959.0}, {'Maushold': 337.0}, {'Tauros-Paldea-Blaze': 46.0}, {'Komala': 18.0}, {'Golduck': 24.0}, {'Medicham': 21.0}, {'Zorua-Hisui': 14.0}, {'Brute Bonnet': 118.0}, {'Gengar': 165.0}, {'Corviknight': 4520.0}, {'Cetitan': 32.0}, {'Wooper-Paldea': 8.0}, {'Sableye': 7.0}, {'Naclstack': 8.0}, {'Veluza': 86.0}, {'Murkrow': 25.0}, {'Lumineon': 16.0}, {'Farigiraf': 13.0}, {'Dolliv': 13.0}, {'Scizor': 1296.0}, {'Persian': 8.0}, {'Vespiquen': 8.0}, {'Scyther': 5.0}, {'Impidimp': 3.0}, {'Sliggoo': 3.0}, {'Floatzel': 346.0}, {'Electrode': 31.0}, {'Bramblin': 2.0}, {'Rotom-Fan': 7.0}, {'Flareon': 12.0}, {'Baxcalibur': 967.0}, {'Seviper': 36.0}, {'Quaquaval': 1188.0}, {'Garganacl': 3293.0}, {'Bombirdier': 22.0}, {'Sandy Shocks': 544.0}, {'Lycanroc-Midnight': 1.0}, {'Bruxish': 5.0}, {'Fraxure': 1.0}, {'Tinkaton': 342.0}, {'Indeedee-F': 35.0}, {'Camerupt': 1.0}, {'Kricketune': 1.0}, {'Skeledirge': 2845.0}, {'Pikachu': 12.0}, {'Zoroark': 13.0}, {'Salazzle': 30.0}, {'Tropius': 19.0}, {'Abomasnow': 87.0}, {'Roaring Moon': 3818.0}, {'Dachsbun': 27.0}, {'Fletchling': 1.0}, {'Luxray': 8.0}, {'Oinkologne-F': 4.0}, {'Tatsugiri': 38.0}, {'Buizel': 1.0}, {'Oricorio-Pom-Pom': 6.0}, {'Qwilfish': 2.0}, {'Cryogonal': 196.0}, {'Beartic': 6.0}, {'Crabominable': 5.0}, {'Clawitzer': 14.0}, {'Gogoat': 2.0}, {'Hatterene': 3291.0}, {'Coalossal': 25.0}, {'Great Tusk': 10869.0}, {'Mabosstiff': 25.0}, {'Lycanroc-Dusk': 59.0}, {'Slither Wing': 503.0}, {'Sunflora': 5.0}, {'Arboliva': 131.0}, {'Houndoom': 51.0}, {'Pawmot': 613.0}, {'Dunsparce': 9.0}, {'Azumarill': 2093.0}, {'Shinx': 2.0}, {'Riolu': 2.0}, {'Charizard': 177.0}, {'Magneton': 8.0}, {'Walking Wake': 18669.0}, {'Hydreigon': 667.0}, {'Rotom-Frost': 4.0}, {'Foongus': 1.0}, {'Forretress': 185.0}, {'Tsareena': 29.0}, {'Iron Moth': 4002.0}, {'Pyroar': 13.0}, {'Drednaw': 71.0}, {'Quagsire': 64.0}, {'Indeedee': 377.0}]","['Grass', 'Psychic']",90,130,88,70,108,104,590,125.0,1.5,Green,N
[{'cursedbody': 60945.0}],Gengar,0.0193363,60945,[{'255': 60945.0}],1727,83,73,55,"[{'Magnemite': 16.0}, {'Iron Leaves': 165.0}, {'Blissey': 856.0}, {'Arboliva': 577.0}, {'Iron Valiant': 4056.0}, {'Volcarona': 5392.0}, {'Spiritomb': 250.0}, {'Toedscool': 1.0}, {'Eevee': 19.0}, {'Barraskewda': 469.0}, {'Mimikyu': 1925.0}, {'Chien-Pao': 3047.0}, {'Sneasel': 4.0}, {'Gholdengo': 5262.0}, {'Cacturne': 49.0}, {'Raichu': 486.0}, {'Bronzong': 170.0}, {'Slowpoke': 1.0}, {'Chansey': 408.0}, {'Dragonair': 6.0}, {'Oricorio': 132.0}, {'Frogadier': 6.0}, {'Muk': 642.0}, {'Garchomp': 8486.0}, {'Komala': 202.0}, {'Scream Tail': 1186.0}, {'Spidops': 804.0}, {'Haunter': 94.0}, {'Appletun': 296.0}, {'Tyranitar': 2884.0}, {'Vivillon': 86.0}, {'Jolteon': 1185.0}, {'Quaquaval': 4345.0}, {'Toedscruel': 1116.0}, {'Ditto': 1745.0}, {'Grafaiai': 953.0}, {'Eelektross': 188.0}, {'Lilligant': 155.0}, {'Toxapex': 3577.0}, {'Tauros-Paldea-Aqua': 1359.0}, {'Bisharp': 482.0}, {'Toxtricity': 672.0}, {'Zangoose': 113.0}, {'Krookodile': 712.0}, {'Lucario': 2386.0}, {'Mankey': 2.0}, {'Bellibolt': 379.0}, {'Psyduck': 4.0}, {'Florges': 407.0}, {'Eiscue': 45.0}, {'Flittle': 1.0}, {'Frosmoth': 241.0}, {'Altaria': 276.0}, {'Charmeleon': 1.0}, {'Shellos': 1.0}, {'Shroodle': 3.0}, {'Bonsly': 15.0}, {'Riolu': 9.0}, {'Leafeon': 261.0}, {'Slowbro': 703.0}, {'Oricorio-Sensu': 74.0}, {'Glimmora': 4431.0}, {'Arcanine': 2080.0}, {'Luxio': 1.0}, {'Igglybuff': 1.0}, {'Oranguru': 4.0}, {'Revavroom': 588.0}, {'Kingambit': 6460.0}, {'Girafarig': 28.0}, {'Magnezone': 1879.0}, {'Morgrem': 5.0}, {'Staraptor': 795.0}, {'Meowscarada': 5912.0}, {'Beartic': 65.0}, {'Cloyster': 2699.0}, {'Espathra': 979.0}, {'Pachirisu': 25.0}, {'Floragato': 7.0}, {'Klefki': 350.0}, {'Ting-Lu': 2784.0}, {'Shelgon': 17.0}, {'Jigglypuff': 5.0}, {'Scovillain': 231.0}, {'Iron Hands': 1031.0}, {'Salamence': 3103.0}, {'Falinks': 69.0}, {'Wo-Chien': 837.0}, {'Haxorus': 2028.0}, {'Dachsbun': 354.0}, {'Golduck': 114.0}, {'Glaceon': 64.0}, {'Wigglytuff': 115.0}, {'Ampharos': 156.0}, {'Cinderace': 5955.0}, {'Magikarp': 3.0}, {'Goodra': 1315.0}, {'Coalossal': 293.0}, {'Noivern': 1068.0}, {'Oinkologne': 76.0}, {'Hippowdon': 445.0}, {'Lycanroc-Dusk': 659.0}, {'Skuntank': 156.0}, {'Lurantis': 136.0}, {'Mismagius': 363.0}, {'Basculin': 23.0}, {'Brambleghast': 521.0}, {'Gothitelle': 15.0}, {'Croagunk': 5.0}, {'Primeape': 311.0}, {'Gabite': 1.0}, {'Zorua': 2.0}, {'Sylveon': 849.0}, {'Klawf': 68.0}, {'Hariyama': 250.0}, {'Iron Jugulis': 457.0}, {'Raboot': 10.0}, {'Nacli': 1.0}, {'Kilowattrel': 1010.0}, {'Amoonguss': 2713.0}, {'Dedenne': 34.0}, {'Squawkabilly': 23.0}, {'Armarouge': 2022.0}, {'Misdreavus': 26.0}, {'Flapple': 67.0}, {'Meowth': 4.0}, {'Slaking': 323.0}, {'Charcadet': 1.0}, {'Rotom-Wash': 5375.0}, {'Pelipper': 1445.0}, {'Avalugg': 940.0}, {'Talonflame': 1364.0}, {'Scyther': 716.0}, {'Honchkrow': 202.0}, {'Finizen': 2.0}, {'Quaxly': 5.0}, {'Sawsbuck': 63.0}, {'Umbreon': 1044.0}, {'Wooper': 5.0}, {'Rabsca': 215.0}, {'Dragalge': 243.0}, {'Heracross': 573.0}, {'Walking Wake': 357.0}, {'Vigoroth': 3.0}, {'Slowking': 978.0}, {'Palossand': 158.0}, {'Iron Thorns': 513.0}, {'Medicham': 137.0}, {'Toxicroak': 345.0}, {'Arctibax': 2.0}, {'Drifblim': 207.0}, {'Masquerain': 510.0}, {'Luvdisc': 3.0}, {'Dragonite': 10895.0}, {'Donphan': 908.0}, {'Gyarados': 3611.0}, {'Gastrodon': 1078.0}, {'Vaporeon': 770.0}, {'Lokix': 822.0}, {'Orthworm': 3424.0}, {'Froslass': 342.0}, {""Oricorio-Pa'u"": 3.0}, {'Ursaring': 426.0}, {'Azumarill': 6064.0}, {'Dragapult': 6482.0}, {'Gardevoir': 1607.0}, {'Zweilous': 6.0}, {'Banette': 61.0}, {'Lycanroc': 169.0}, {'Whiscash': 46.0}, {'Breloom': 5742.0}, {'Greedent': 20.0}, {'Drowzee': 7.0}, {'Krokorok': 39.0}, {'Alomomola': 113.0}, {'Hypno': 113.0}, {'Weavile': 898.0}, {'Rotom-Mow': 241.0}, {'Hawlucha': 726.0}, {'Mudsdale': 455.0}, {'Braviary': 107.0}, {'Torkoal': 1428.0}, {'empty': 0.0}, {'Jumpluff': 44.0}, {'Polteageist': 572.0}, {'Numel': 7.0}, {'Flamigo': 209.0}, {'Grimmsnarl': 3295.0}, {'Maushold': 1337.0}, {'Tauros-Paldea-Blaze': 551.0}, {'Pincurchin': 275.0}, {'Iron Treads': 3426.0}, {'Hattrem': 2.0}, {'Rotom-Frost': 84.0}, {'Brute Bonnet': 515.0}, {'Wattrel': 1.0}, {'Wugtrio': 55.0}, {'Glalie': 7.0}, {'Corviknight': 7386.0}, {'Cetitan': 267.0}, {'Glimmet': 11.0}, {'Perrserker': 40.0}, {'Drifloon': 1.0}, {'Sableye': 1424.0}, {'Naclstack': 75.0}, {'Dugtrio': 316.0}, {'Veluza': 123.0}, {'Murkrow': 176.0}, {'Lumineon': 16.0}, {'Wiglett': 1.0}, {'Farigiraf': 142.0}, {'Wooper-Paldea': 1.0}, {'Scizor': 5467.0}, {'Persian': 46.0}, {'Vespiquen': 35.0}, {'Dudunsparce': 166.0}, {'Sandy Shocks': 835.0}, {'Charmander': 3.0}, {'Electrode': 140.0}, {'Swalot': 13.0}, {'Lycanroc-Midnight': 89.0}, {'Salandit': 7.0}, {'Rotom-Fan': 22.0}, {'Grumpig': 21.0}, {'Passimian': 15.0}, {'Flareon': 191.0}, {'Baxcalibur': 4993.0}, {'Copperajah': 37.0}, {'Dondozo': 3029.0}, {'Pawmi': 1.0}, {'Garganacl': 4833.0}, {'Starly': 14.0}, {'Bombirdier': 121.0}, {'Varoom': 1.0}, {'Stonjourner': 7.0}, {'Bruxish': 31.0}, {'Stantler': 1.0}, {'Roaring Moon': 2604.0}, {'Pupitar': 1.0}, {'Delibird': 42.0}, {'Rockruff': 13.0}, {'Zoroark-Hisui': 390.0}, {'Mabosstiff': 113.0}, {'Toxel': 1.0}, {'Camerupt': 68.0}, {'Kricketune': 41.0}, {'Skeledirge': 3937.0}, {'Pikachu': 926.0}, {'Zoroark': 1961.0}, {'Salazzle': 710.0}, {'Tropius': 86.0}, {'Pyroar': 69.0}, {'Abomasnow': 438.0}, {'Gastly': 52.0}, {'Rotom': 36.0}, {'Tsareena': 264.0}, {'Luxray': 256.0}, {'Oinkologne-F': 3.0}, {'Tatsugiri': 274.0}, {'Oricorio-Pom-Pom': 37.0}, {'Qwilfish': 28.0}, {'Cryogonal': 192.0}, {'Tinkaton': 1425.0}, {'Crabominable': 46.0}, {'Clawitzer': 106.0}, {'Gogoat': 126.0}, {'Sudowoodo': 36.0}, {'Hatterene': 5398.0}, {'Rotom-Heat': 622.0}, {'Tauros-Paldea-Combat': 139.0}, {'Iron Moth': 2810.0}, {'Great Tusk': 9601.0}, {'Sliggoo': 1.0}, {'Sprigatito': 2.0}, {'Lechonk': 1.0}, {'Slither Wing': 1044.0}, {'Crocalor': 63.0}, {'Sandaconda': 150.0}, {'Espeon': 1959.0}, {'Houndoom': 136.0}, {'Pawmot': 1524.0}, {'Dunsparce': 58.0}, {'Floatzel': 473.0}, {'Grimer': 1.0}, {'Charizard': 2451.0}, {'Bagon': 2.0}, {'Magneton': 212.0}, {'Mareanie': 4.0}, {'Ceruledge': 4051.0}, {'Greninja': 7153.0}, {'Hydreigon': 2559.0}, {'Clodsire': 4871.0}, {'Pineco': 26.0}, {'Eelektrik': 5.0}, {'Forretress': 1743.0}, {'Indeedee-F': 89.0}, {'Gallade': 1731.0}, {'Venomoth': 56.0}, {'Seviper': 62.0}, {'Sunflora': 7.0}, {'Gumshoos': 31.0}, {'Drednaw': 343.0}, {'Quagsire': 576.0}, {'Indeedee': 251.0}]","['Ghost', 'Poison']",60,65,60,130,75,110,500,40.5,1.5,Purple,N
